Time,CK0,CS,CA1,CA2,CA0,CA7,CA9,CA8,CA6,CA4,CA10
7.57499951e-09,1,1,1,1,1,1,1,1,1,1,1
7.65499951e-09,1,1,1,1,1,1,1,1,1,1,1
7.73499951e-09,1,1,1,1,1,1,1,1,1,1,1
7.81499951e-09,0,1,1,1,1,1,1,1,1,1,1
7.89499951e-09,0,1,1,1,1,1,1,1,1,1,1
7.97499951e-09,1,1,1,1,1,1,1,1,1,1,1
8.05499951e-09,1,1,1,1,1,1,1,1,1,1,1
8.13499951e-09,1,1,1,1,1,1,1,1,1,1,1
8.21499951e-09,0,1,1,1,1,1,1,1,1,1,1
8.29499951e-09,0,1,1,1,1,1,1,1,1,1,1
8.37499951e-09,1,1,1,1,1,1,1,1,1,1,1
8.45499951e-09,1,1,1,1,1,1,1,1,1,1,1
8.53499951e-09,1,1,1,1,1,1,1,1,1,1,1
8.61499951e-09,0,1,1,1,1,1,1,1,1,1,1
8.69499951e-09,0,1,1,1,1,1,1,1,1,1,1
8.77499950e-09,0,1,1,1,1,1,1,1,1,1,1
8.85499950e-09,1,1,1,1,1,1,1,1,1,1,1
8.93499950e-09,1,1,1,1,1,1,1,1,1,1,1
9.01499950e-09,0,1,1,1,1,1,1,1,1,1,1
9.09499950e-09,0,1,1,1,1,1,1,1,1,1,1
9.17499950e-09,0,1,1,1,1,1,1,1,1,1,1
9.25499950e-09,1,1,1,1,1,1,1,1,1,1,1
9.33499950e-09,1,1,1,1,1,1,1,1,1,1,1
9.41499950e-09,0,1,1,1,1,1,1,1,1,1,1
9.49499950e-09,0,1,1,1,1,1,1,1,1,1,1
9.57499950e-09,0,1,1,1,1,1,1,1,1,1,1
9.65499950e-09,1,1,1,1,1,1,1,1,1,1,1
9.73499950e-09,1,1,1,1,1,1,1,1,1,1,1
9.81499950e-09,1,1,1,1,1,1,1,1,1,1,1
9.89499950e-09,0,1,1,1,1,1,1,1,1,1,1
9.97499950e-09,0,1,1,1,1,1,1,1,1,1,1
1.00549995e-08,1,1,1,1,1,1,1,1,1,1,1
1.01349995e-08,1,1,1,1,1,1,1,1,1,1,1
1.02149995e-08,1,1,1,1,1,1,1,1,1,1,1
1.02949995e-08,0,1,1,1,1,1,1,1,1,1,1
1.03749995e-08,0,1,1,1,1,1,1,1,1,1,1
1.04549995e-08,1,1,1,1,1,1,1,1,1,1,1
1.05349995e-08,1,1,1,1,1,1,1,1,1,1,1
1.06149995e-08,1,1,1,1,1,1,1,1,1,1,1
1.06949995e-08,0,1,1,1,1,1,1,1,1,1,1
1.07749995e-08,0,1,1,1,1,1,1,1,1,1,1
1.08549995e-08,0,1,1,1,1,1,1,1,1,1,1
1.09349995e-08,1,1,1,1,1,1,1,1,1,1,1
1.10149995e-08,1,1,1,1,1,1,1,1,1,1,1
1.10949995e-08,0,1,1,1,1,1,1,1,1,1,1
1.11749995e-08,0,1,1,1,1,1,1,1,1,1,1
1.12549995e-08,0,1,1,1,1,1,1,1,1,1,1
